mvir,x,y,z,rvir,rockstarid
147530000000,5.16326,6.1253,3.54518,107.516,12568664872
400440000000,5.25032,7.73537,2.48355,149.977,12568660235
508830000000,5.57098,7.28662,2.56099,162.444,12568658716
407970000000,6.20431,6.80728,2.46284,150.911,12568659494
111400000000,7.47991,4.55742,1.70499,97.906,12568667178
141510000000,7.74652,0.15889,2.4476,106.033,12568664730
117420000000,8.79534,0.17675,1.76227,99.639,12568665271
200220000000,13.3595,2.83378,0.97895,119.037,12568662311
319150000000,8.5386,5.246,2.25699,139.052,12568659982
283020000000,14.9896,12.7843,2.40459,133.593,12568661277
173120000000,9.51042,15.2953,1.08961,113.404,12568664039
212260000000,15.355,13.9753,4.61588,121.377,12568662492
141510000000,15.1155,13.6829,5.05846,106.033,12568666055
189680000000,14.6952,15.1735,7.20128,116.911,12568663074
117420000000,3.05267,9.3933,4.02348,99.639,12568663286
123440000000,3.44552,9.07619,1.03974,101.314,12568660040
239360000000,3.32122,9.21532,0.88068,126.337,12568660039
837010000000,4.35018,8.50336,2.11606,191.759,12568657643
143010000000,5.72277,7.95766,2.22805,106.407,12568664347
248390000000,4.15738,14.1888,0.81127,127.906,12568661903
112910000000,4.70107,14.0981,2.97872,98.345,12568665852
105380000000,2.58973,13.576,1.21968,96.109,12568665396
152050000000,2.96082,15.2837,1.30305,108.602,12568665078
173120000000,6.43185,9.43035,11.1424,113.404,12568661233
201720000000,6.52188,9.40563,10.7991,119.334,12568662735
364310000000,11.2398,8.17449,9.70549,145.323,12568660625
108390000000,10.3723,8.36524,9.69782,97.016,12568667382
532920000000,9.90997,6.25936,14.8791,164.968,12568658669
451620000000,13.8842,6.19095,10.5921,156.113,12568659543
109890000000,8.01872,6.82058,9.54669,97.463,12568667383
149040000000,8.9955,1.71645,8.68658,107.88,12568665935
557000000000,13.394,2.92455,8.0813,167.416,12568658856
150540000000,5.89393,5.26907,8.61732,108.242,12568661607
124950000000,6.07552,5.02251,8.58192,101.724,12568661606
121940000000,6.06882,5.85987,8.08062,100.9,12568666144
100860000000,5.79662,6.3732,7.99323,94.716,12568668440
114410000000,0.75664,0.57011,11.0884,98.78,12568665783
176130000000,2.99538,2.66756,13.926,114.058,12568662941
177640000000,3.6999,3.09779,13.729,114.382,12568663042
258930000000,0.94894,1.30698,15.5025,129.69,12568661488
243880000000,0.51021,1.49404,14.417,127.126,12568661174
127960000000,1.42582,0.73324,16.9972,102.535,12568662348
427540000000,1.0221,0.16499,18.7581,153.286,12568659625
272480000000,2.64391,5.06531,22.8102,131.914,12568661554
156560000000,1.05895,4.9952,21.3249,109.667,12568663682
216780000000,1.81094,4.71419,21.8697,122.232,12568663138
355280000000,1.80655,2.15722,22.7842,144.112,12568660527
182150000000,2.25303,2.6351,23.3181,115.343,12568661858
579580000000,0.2856,0.90189,21.6613,169.649,12568658347
115920000000,0.54073,1.52266,21.9837,99.211,12568665721
100860000000,2.22652,0.99474,29.9647,94.716,12568668432
359790000000,2.35508,3.82253,27.3495,144.72,12568659286
227320000000,3.36499,4.89175,28.7369,124.181,12568662669
543450000000,7.56913,5.9521,25.8708,166.048,12568658970
237850000000,7.59167,5.89696,25.9122,126.071,12568658971
117420000000,7.25945,4.97222,25.6834,99.639,12568664233
102370000000,5.24314,4.42621,26.7903,95.185,12568668098
311620000000,4.87601,4.46862,28.5749,137.95,12568660526
176130000000,4.07601,2.67848,26.5944,114.058,12568662525
126450000000,15.0395,1.65,24.0982,102.131,12568659756
323660000000,15.1997,1.60631,24.1088,139.704,12568659758
724100000000,13.8375,6.03267,27.2453,182.717,12568655505
228820000000,13.8617,6.05127,26.7805,124.455,12568655504
100860000000,13.0719,6.39208,26.6448,94.716,12568665329
1490400000000,13.6355,6.07055,26.7236,232.421,12568655503
364310000000,13.5941,6.20973,26.1509,145.323,12568659858
114410000000,12.5282,4.46036,23.7729,98.78,12568667261
3572300000000,15.2145,5.61453,27.4665,311.05,12568654660
100860000000,10.5432,6.55465,30.5817,94.716,12568665635
252910000000,8.40504,5.57806,25.893,128.677,12568660326
201720000000,9.32701,5.59699,25.9977,119.334,12568663137
132480000000,11.1824,4.565,23.3655,103.727,12568664729
123440000000,15.1252,7.42929,22.6556,101.314,12568666213
108390000000,14.3733,8.75484,21.5501,97.016,12568665931
141510000000,8.02759,10.5246,30.0306,106.033,12568665636
868620000000,12.3323,9.27291,30.3336,194.143,12568657544
797870000000,11.9966,11.6039,28.4767,188.722,12568658037
308610000000,12.0109,11.6052,28.4353,137.504,12568658036
228820000000,15.048,14.5792,26.622,124.455,12568661991
108390000000,12.1404,12.134,28.5078,97.016,12568667002
535930000000,15.1758,14.4187,28.6502,165.278,12568658480
133980000000,14.7165,15.0969,28.6549,104.118,12568666141
289040000000,8.1143,14.1957,26.6848,134.534,12568661276
388400000000,6.90435,10.7734,29.7754,148.458,12568660022
130970000000,7.16114,10.8621,30.0904,103.333,12568665637
123440000000,4.64128,9.25864,31.2062,101.314,12568666293
118930000000,1.79286,8.24396,26.2159,100.063,12568666367
136990000000,1.27088,11.1859,27.0469,104.893,12568664822
136990000000,2.73695,10.4684,28.6949,104.893,12568654542
165600000000,2.82804,10.335,28.795,111.736,12568654547
323660000000,2.86824,10.186,28.7182,139.704,12568654543
4502700000000,2.88639,10.2073,28.7374,335.998,12568654544
993570000000,1.0344,11.7004,27.5338,203.039,12568657329
212260000000,1.54749,11.6562,28.0033,121.377,12568661285
299580000000,1.92455,11.2395,27.8376,136.149,12568660860
185170000000,2.42686,12.5823,24.8009,115.975,12568663408
2818100000000,3.13557,14.8129,24.1073,287.408,12568655251
164090000000,3.18994,14.9773,24.0107,111.397,12568655253
257430000000,1.54993,14.6183,23.5828,129.438,12568659877
103870000000,0.44154,14.3138,22.9389,95.649,12568665071
118930000000,1.11087,9.80296,17.1666,100.063,12568664502
117420000000,0.47155,20.432,21.8047,99.639,12568663875
180650000000,0.5584,20.3484,20.8317,115.025,12568663991
578080000000,0.71926,20.741,21.4079,169.502,12568658934
176130000000,2.55584,17.304,23.2766,114.058,12568663376
528400000000,1.68602,18.3995,22.9499,164.5,12568658384
168610000000,2.83127,15.8171,23.9988,112.41,12568663717
323660000000,3.32779,15.7396,23.7712,139.704,12568660725
127960000000,7.1264,17.3005,29.1769,102.535,12568663442
118930000000,4.74631,18.0121,26.2666,100.063,12568666598
960450000000,6.44485,17.5594,26.2396,200.757,12568657549
2809100000000,6.42209,17.4168,24.2801,287.101,12568654866
364310000000,7.00586,17.5989,24.6104,145.323,12568654867
561520000000,0.01045,25.4978,26.5365,167.868,12568658814
597650000000,0.33691,26.55,28.3525,171.393,12568658545
572060000000,1.14458,27.3849,28.5276,168.911,12568658927
716580000000,3.57304,28.1073,24.2018,182.082,12568657978
358290000000,3.56384,28.8612,23.7799,144.518,12568659857
600660000000,3.76154,29.1475,24.4884,171.681,12568658798
136990000000,3.75401,31.0895,23.7728,104.893,12568666447
487750000000,5.01142,27.2386,24.3278,160.169,12568658477
168610000000,0.7842,26.359,17.7423,112.41,12568663877
338720000000,0.50959,26.4767,17.0811,141.838,12568660350
1347300000000,3.81249,29.9788,23.1881,224.736,12568656755
135490000000,3.81411,29.896,23.2823,104.507,12568656758
103870000000,7.40213,28.6186,21.982,95.649,12568668097
212260000000,10.3802,28.1104,22.2362,121.377,12568662021
412480000000,8.05934,29.8565,20.8739,151.466,12568659818
141510000000,11.911,28.1817,23.0489,106.033,12568665634
118930000000,15.5597,24.0356,18.6206,100.063,12568662052
1954000000000,13.9698,23.6701,18.0004,254.383,12568655863
252910000000,14.0077,23.7184,15.7672,128.677,12568661941
103870000000,8.75281,24.3727,16.1532,95.649,12568667688
546460000000,11.4186,25.5745,26.1172,166.354,12568658998
103870000000,10.4019,26.2524,27.9682,95.649,12568667173
392910000000,11.2745,26.4434,30.5172,149.031,12568659817
103870000000,10.3564,27.187,30.1479,95.649,12568661341
182150000000,10.4011,27.0513,30.2002,115.343,12568661342
448610000000,13.5751,24.0318,26.4512,155.765,12568659926
1071900000000,12.4135,24.3934,25.6704,208.237,12568657122
174630000000,8.60371,22.0508,24.7343,113.732,12568663492
167100000000,9.61467,19.5845,23.896,112.074,12568663531
100860000000,9.3137,17.8883,24.9947,94.716,12568666737
1648400000000,10.3321,17.2675,24.8265,240.364,12568656388
2181300000000,9.93676,17.9522,24.8551,263.888,12568655594
240870000000,9.84072,19.0901,24.5477,126.601,12568661553
213770000000,12.0332,18.6156,20.8975,121.663,12568662994
123440000000,12.4888,17.4056,22.1517,101.314,12568662401
582590000000,11.5866,18.6523,21.0772,169.942,12568658756
201720000000,9.40773,19.5046,21.1306,119.334,12568662430
103870000000,8.00332,18.9796,22.2766,95.649,12568666448
155060000000,11.5175,21.9142,20.4974,109.314,12568664345
141510000000,11.082,21.6849,21.0207,106.033,12568664086
304090000000,10.5262,19.8439,20.0955,136.83,12568661072
102370000000,11.7751,22.1525,18.9471,95.185,12568668316
158070000000,14.5955,21.187,18.1178,110.017,12568663993
108390000000,14.5989,18.292,12.2397,97.016,12568666297
242370000000,15.6128,22.6808,14.0508,126.864,12568662402
340220000000,13.8953,17.4022,10.3967,142.047,12568659634
136990000000,8.20489,16.9394,0.62771,104.893,12568664690
136990000000,9.52717,16.422,3.77805,104.893,12568663879
3206500000000,6.63684,17.4517,0.01409,300.048,12568654833
105380000000,4.66839,18.1023,0.30366,96.109,12568667262
115920000000,5.38813,17.4356,0.68187,99.211,12568655975
1671000000000,5.72797,17.574,0.64273,241.456,12568655976
117420000000,4.93384,17.2992,1.06629,99.639,12568667176
120430000000,4.61452,15.6999,0.70166,100.483,12568666143
185170000000,0.31887,18.723,4.57097,115.975,12568662794
1374400000000,2.11936,21.2775,2.26294,226.232,12568656381
311620000000,3.40766,19.735,1.37392,137.95,12568660780
403450000000,0.28273,19.6301,1.27295,150.352,12568659462
130970000000,1.79847,20.8989,2.09741,103.333,12568656379
168610000000,0.43299,28.4848,14.7617,112.41,12568663493
290540000000,0.10427,30.4134,12.9154,134.767,12568660627
457640000000,0.61924,31.1077,12.2299,156.803,12568657909
224310000000,0.9765,30.9726,12.1603,123.631,12568657910
218280000000,7.58508,30.3745,13.0612,122.514,12568661286
115920000000,5.3586,25.4393,1.89792,99.211,12568666824
117420000000,1.04386,24.3647,2.44248,99.639,12568657934
475710000000,1.18182,24.2901,2.43489,158.84,12568657935
594640000000,0.75981,23.6428,2.61526,171.105,12568658371
2196400000000,1.22634,25.953,2.95713,264.494,12568655413
130970000000,1.24971,25.9696,2.91092,103.333,12568655412
225810000000,1.48022,25.9572,2.60642,123.907,12568655410
117420000000,3.03827,26.811,2.10996,99.639,12568665504
144520000000,3.33973,26.3006,2.04729,106.779,12568665725
198710000000,2.29199,27.4021,3.79181,118.738,12568663230
132480000000,2.292,27.7433,2.10098,103.727,12568656815
1210300000000,2.59323,27.8148,2.09092,216.845,12568656816
377860000000,3.87448,28.2418,2.56417,147.103,12568660328
141510000000,3.23078,29.2698,1.47089,106.033,12568653829
124950000000,3.35124,29.5855,1.24437,101.724,12568653830
5681400000000,3.41062,29.6941,1.25524,363.076,12568653833
350760000000,4.62821,31.1674,1.15707,143.499,12568660299
