mvir,x,y,z
1.00E+13,45.3464,496.15,113.938
1.00E+13,21.2399,785.898,979.624
1.00E+13,77.517,930.911,126.394
1.00E+13,221.814,149.696,686.289
1.00E+13,44.6408,119.327,729.02
1.00E+13,211.593,630.743,304.583
1.00E+13,356.224,175.979,343.302
1.00E+13,94.1851,174.706,762.144
1.00E+13,5.41428,340.58,764.228
1.00E+13,48.6853,786.418,71.9088
1.00E+13,399.192,461.421,53.6857
1.00E+13,51.9628,331.773,576.624
1.00E+13,368.626,641.198,194.319
1.00E+13,129.453,334.999,832
1.00E+13,385.536,602.83,642.597
1.00E+13,474.07,15.9474,903.22
1.00E+13,165.022,836.274,585.976
1.00E+13,291.168,76.0824,519.449
1.00E+13,491.905,392.777,951.395
1.00E+13,464.562,524.863,759.165
1.00E+13,211.365,234.92,883.103
1.00E+13,279.923,181.712,919.709
1.00E+13,374.409,0.94809,867.883
1.00E+13,2.85462,961.652,293.692
1.00E+13,386.543,513.679,966.326
1.00E+13,309.135,74.0423,200.672
1.00E+13,304.534,247.879,533.035
1.00E+13,188.695,214.667,765.027
1.00E+13,319.034,558.729,31.3713
1.00E+13,376.819,517.219,82.7
1.00E+13,440.308,35.4167,439.474
1.00E+13,304.604,562.954,678.053
1.00E+13,356.853,850.572,675.527
1.00E+13,455.124,33.4833,317.149
1.00E+13,715.376,321.126,387.608
1.00E+13,567.373,233.397,180.879
1.00E+13,588.493,246.466,964.737
1.00E+13,380.295,193.699,301.224
1.00E+13,576.147,236.386,666.987
1.00E+13,569.644,978.851,950.501
1.00E+13,592.617,222.109,123.953
1.00E+13,676.083,123.597,357.121
1.00E+13,540.665,707.712,821.879
1.00E+13,631.415,423.049,498.392
1.00E+13,688.495,695.919,459.763
1.00E+13,962.316,105.485,682.179
1.00E+13,636.912,915.63,933.543
1.00E+13,684.897,898.541,991.046
1.00E+13,438.511,420.835,686.157
1.00E+13,604.583,735.71,176.62
1.00E+13,757.066,270.505,386.389
1.00E+13,758.152,531.892,30.4503
1.00E+13,570.813,126.979,221.018
1.00E+13,861.5,74.189,889.357
