zred,aexp,snapnum
0,1,125
0.022,0.9781,124
0.045,0.9567,123
0.069,0.9357,122
0.093,0.9152,121
0.117,0.8951,120
0.142,0.8755,119
0.168,0.8564,118
0.194,0.8376,117
0.221,0.8192,116
0.248,0.8013,115
0.276,0.7837,114
0.304,0.7666,113
0.334,0.7498,112
0.364,0.7333,111
0.394,0.7173,110
0.425,0.7016,109
0.457,0.6862,108
0.49,0.6712,107
0.523,0.6565,106
0.557,0.6421,105
0.592,0.628,104
0.628,0.6142,103
0.664,0.6008,102
0.702,0.5876,101
0.74,0.5747,100
0.779,0.5622,99
0.819,0.5498,98
0.859,0.5378,97
0.901,0.526,96
0.944,0.5145,95
0.987,0.5032,94
1.032,0.4922,93
1.077,0.4814,92
1.124,0.4709,91
1.172,0.4605,90
1.22,0.4505,89
1.27,0.4406,88
1.321,0.4309,87
1.372,0.4215,86
1.425,0.4123,85
1.48,0.4032,84
1.535,0.3944,83
1.593,0.3857,82
1.65,0.3773,81
1.71,0.369,80
1.771,0.3609,79
1.833,0.353,78
1.896,0.3453,77
1.961,0.3377,76
2.028,0.3303,75
2.095,0.3231,74
2.165,0.316,73
2.235,0.3091,72
2.308,0.3023,71
2.382,0.2957,70
2.458,0.2892,69
2.535,0.2829,68
2.614,0.2767,67
2.695,0.2706,66
2.778,0.2647,65
2.862,0.2589,64
2.949,0.2532,63
3.037,0.2477,62
3.127,0.2423,61
3.221,0.2369,60
3.314,0.2318,59
3.411,0.2267,58
3.511,0.2217,57
3.61,0.2169,56
3.715,0.2121,55
3.819,0.2075,54
3.929,0.2029,53
4.038,0.1985,52
4.152,0.1941,51
4.266,0.1899,50
4.385,0.1857,49
4.507,0.1816,48
4.627,0.1777,47
4.754,0.1738,46
4.882,0.17,45
5.017,0.1662,44
5.15,0.1626,43
5.289,0.159,42
5.431,0.1555,41
5.575,0.1521,40
5.72,0.1488,39
5.873,0.1455,38
6.022,0.1424,37
6.184,0.1392,36
6.342,0.1362,35
6.508,0.1332,34
6.675,0.1303,33
6.849,0.1274,32
7.026,0.1246,31
7.203,0.1219,30
7.389,0.1192,29
7.576,0.1166,28
7.764,0.1141,27
7.961,0.1116,26
8.166,0.1091,25
8.372,0.1067,24
8.579,0.1044,23
8.794,0.1021,22
9.01,0.0999,21
9.235,0.0977,20
9.471,0.0955,19
9.707,0.0934,18
9.941,0.0914,17
10.186,0.0894,16
10.442,0.0874,15
10.696,0.0855,14
10.962,0.0836,13
11.225,0.0818,12
11.5,0.08,11
11.771,0.0783,10
12.055,0.0766,9
12.351,0.0749,8
12.661,0.0732,7
12.966,0.0716,6
13.265,0.0701,5
13.599,0.0685,4
13.925,0.067,3
14.244,0.0656,2
14.601,0.0641,1
14.949,0.0627,0
