idc,idr
1833:142669,12569289480:12569288943
1833:127659,12569289480:12569246999
1833:230195,12569289480:12569288330
1833:434827,12569289480:12569246965
1833:104018,12569289480:12569288834
1833:71177,12569289480:12569289180
1833:49059,12569289480:12569289465
1833:218449,12569289480:12569288606
1833:139222,12569289480:12569249314
1833:353267,12569289480:12569247937
1833:295068,12569289480:12569287498
1833:48412,12569289480:12578570568
4307:107781,12568691568:12568691312
4307:489071,12568691568:x-12697579147
4307:484236,12568691568:x-12697579168
5628:238538,12569289701:12569288303
5628:408840,12569289701:12569286880
5628:179349,12569289701:12569288867
5628:159299,12569289701:12569288726
7100:343227,12568653134:12568651536
7100:78028,12568653134:12568652263
7100:170332,12568653134:12568652219
7100:7301,12568653134:12568653028
7100:97441,12568653134:12568650463
7100:98797,12568653134:12568652573
7100:293114,12568653134:12568651423
7100:375113,12568653134:12568650506
7100:234439,12568653134:12568650468
7100:154867,12568653134:12568652427
7100:105283,12568653134:12568652852
7100:24136,12568653134:12568653037
7100:42918,12568653134:12568652793
7100:89656,12568653134:12568652602
7100:123013,12568653134:12568652695
7100:84576,12568653134:12568652877
7100:238882,12568653134:12568651460
7100:321281,12568653134:12568651385
7100:219980,12568653134:12568652301
7100:16735,12568653134:12568653120
7301:238882,12568653028:12568651460
7301:98797,12568653028:12568652573
7301:170332,12568653028:12568652219
7301:343227,12568653028:12568651536
7301:301631,12568653028:12568651033
7301:16735,12568653028:12568653120
7301:279650,12568653028:12568651020
7301:222838,12568653028:12568652156
7301:154867,12568653028:12568652427
7301:84576,12568653028:12568652877
7301:123013,12568653028:12568652695
7301:251831,12568653028:12568651897
7301:78028,12568653028:12568652263
7301:30862,12568653028:12568652291
7301:89656,12568653028:12568652602
7301:134512,12568653028:12568652337
7301:153801,12568653028:12568652180
7301:42918,12568653028:12568652793
7301:293114,12568653028:12568651423
8052:143038,12568653176:12568650750
8052:29357,12568653176:12568653099
8052:357512,12568653176:12568650716
8052:369672,12568653176:12568651091
8052:43698,12568653176:12568652386
8052:88488,12568653176:12568652072
8052:16521,12568653176:12568653159
8052:314527,12568653176:12568651607
8052:317539,12568653176:12568651659
8052:252293,12568653176:12568651860
8052:168745,12568653176:12568651991
8052:325093,12568653176:12568650428
8052:220287,12568653176:12568652094
8779:239608,12569249987:12569248133
8779:115366,12569249987:12569249360
8779:303889,12569249987:12569248457
8779:175786,12569249987:12569248279
8779:106326,12569249987:12569248265
8779:27677,12569249987:12569249980
8779:286236,12569249987:12569248412
8779:225161,12569249987:12569248879
8779:398088,12569249987:12569247689
8779:153993,12569249987:12569249323
8779:381565,12569249987:12569247323
14745:506477,12577990225:z-12579123206
14745:210060,12577990225:12577989983
14745:507631,12577990225:z-12578534037
14745:205304,12577990225:12577987762
14745:424769,12577990225:12577987716
14745:128564,12577990225:12577987655
14745:155262,12577990225:12577987651
14745:501474,12577990225:z-12578537121
14745:501147,12577990225:z-12578537637
14745:503065,12577990225:z-12578537082
14745:505287,12577990225:z-12578536223
14745:500364,12577990225:z-12578537530
14745:167663,12577990225:12577990607
14745:503966,12577990225:z-12578534949
14745:505395,12577990225:z-12578534937
14745:507058,12577990225:z-12578534901
14745:138816,12577990225:12577990242
14745:22635,12577990225:12578571554
14745:116583,12577990225:12578570962
14745:504506,12577990225:z-12578536722
14745:34934,12577990225:12577991099
16124:351356,12568650845:12568651110
16124:153801,12568650845:12568652180
16124:30862,12568650845:12568652291
16124:431790,12568650845:12568649498
16124:211957,12568650845:12568652019
16124:251831,12568650845:12568651897
16124:206648,12568650845:12568649562
16124:482189,12568650845:x-12697546875
