x_0,x_1
55.4978,58.6791
55.4978,50.5409
55.4978,60.3764
55.4978,49.1602
55.4978,61.4492
55.4978,51.0989
55.4978,48.4585
55.4978,58.9097
55.4978,42.7197
55.4978,42.543
55.4978,63.8361
55.4978,75.1517
2.27346,13.5772
9.27539,6.34549
9.27539,19.5288
9.27539,22.0749
9.27539,9.4338
39.6522,41.7885
39.6522,46.9998
39.6522,39.073
39.6522,31.0202
39.6522,47.704
39.6522,37.3428
39.6522,41.401
39.6522,49.0287
39.6522,48.9799
39.6522,38.5799
39.6522,40.0238
39.6522,54.5758
39.6522,44.4132
39.6522,41.6431
39.6522,35.3228
39.6522,35.146
39.6522,22.3781
39.6522,33.5889
39.6522,48.0123
39.6522,20.533
31.0202,22.3781
31.0202,37.3428
31.0202,39.073
31.0202,41.7885
31.0202,19.6295
31.0202,20.533
31.0202,18.5595
31.0202,18.5639
31.0202,38.5799
31.0202,35.146
31.0202,35.3228
31.0202,15.7033
31.0202,46.9998
31.0202,18.9741
31.0202,41.6431
31.0202,35.0097
31.0202,15.3685
31.0202,44.4132
31.0202,41.401
14.245,10.1033
14.245,15.8322
14.245,7.14484
14.245,16.7008
14.245,20.363
14.245,21.828
14.245,23.6743
14.245,20.679
14.245,22.8702
14.245,0.62721
14.245,25.1478
14.245,4.01343
14.245,26.0686
39.019,40.458
39.019,43.0388
39.019,40.6254
39.019,41.5349
39.019,41.4326
39.019,53.7008
39.019,29.9898
39.019,45.6681
39.019,40.8158
39.019,34.0436
39.019,23.4409
91.8058,95.7859
91.8058,85.4784
91.8058,84.0984
91.8058,83.2318
91.8058,82.7075
91.8058,86.4474
91.8058,80.3495
91.8058,76.9487
91.8058,73.0689
91.8058,74.9885
10.4227,9.35709
10.4227,15.3685
10.4227,18.9741
10.4227,4.67995
10.4227,5.12592
10.4227,15.7033
10.4227,6.58951
10.4227,8.42084
10.4227,4.48077
10.4227,12.3338
10.4227,18.5595
10.4227,18.5639
10.4227,19.6295
10.4227,5.50422
10.4227,20.533
10.4227,22.3781
10.4227,10.9247
10.4227,0.46715
10.4227,9.93585
10.4227,9.50289
10.4227,14.408
10.4227,0.347
10.4227,1.76199
23.6743,20.363
23.6743,25.1478
23.6743,27.2796
23.6743,27.7266
23.6743,28.9323
23.6743,16.7008
23.6743,30.7268
23.6743,22.8702
23.6743,25.1855
23.6743,21.828
23.6743,30.3003
23.6743,15.8322
23.6743,10.1033
23.6743,31.8361
23.6743,26.0686
23.6743,38.2936
23.6743,7.14484
23.6743,37.8505
20.533,15.7033
20.533,19.6295
20.533,18.5595
20.533,22.3781
20.533,9.35709
20.533,9.93585
20.533,15.3685
20.533,9.50289
20.533,10.0326
20.533,18.9741
20.533,33.5889
20.533,26.2546
41.4667,42.0127
41.4667,41.0709
41.4667,41.2882
41.4667,40.2232
41.4667,38.3128
41.4667,49.7239
41.4667,50.1976
41.4667,36.2814
41.4667,34.9113
41.4667,28.7218
41.4667,51.0989
41.4667,44.0333
41.4667,48.0576
41.4667,55.2444
41.4667,52.4544
41.4667,27.0952
41.4667,57.3909
41.4667,26.9839
52.4544,55.2444
52.4544,57.3909
52.4544,50.1976
52.4544,49.7239
52.4544,45.4065
60.7518,57.224
60.7518,64.1128
60.7518,52.8361
60.7518,52.3406
60.7518,57.427
60.7518,60.4266
60.7518,55.5221
60.7518,59.7329
60.7518,53.7008
60.7518,45.6681
60.7518,53.6355
60.7518,59.5245
60.7518,55.6101
60.7518,52.8386
60.7518,74.2789
26.2546,33.5889
26.2546,27.9689
26.2546,23.8242
26.2546,20.679
26.2546,19.8681
26.2546,41.401
53.6355,55.5221
53.6355,57.427
53.6355,59.7329
53.6355,59.5245
53.6355,56.8938
53.6355,57.224
53.6355,60.4266
53.6355,46.1242
53.6355,52.8361
53.6355,52.3406
53.6355,40.89
53.6355,58.6729
53.6355,46.0979
76.9487,73.0689
76.9487,78.5024
76.9487,64.2412
76.9487,82.7075
76.9487,85.4784
76.9487,83.2318
76.9487,84.0984
76.9487,74.9885
54.5758,49.0287
54.5758,48.9799
54.5758,47.704
54.5758,60.0459
54.5758,58.795
54.5758,63.4
54.5758,64.1351
54.5758,64.3852
54.5758,46.9998
54.5758,66.2131
54.5758,48.0123
54.5758,41.401
54.5758,41.7885
54.5758,67.2702
54.5758,40.0238
54.5758,39.073
85.4705,84.1804
85.4705,82.4213
85.4705,74.289
85.4705,97.961
85.4705,96.456
85.4705,99.3229
51.5208,55.2444
51.5208,57.3909
51.5208,45.4065
51.5208,50.1976
51.5208,49.7239
51.5208,55.6101
53.7008,43.0388
53.7008,64.1128
53.7008,40.6254
53.7008,45.6681
53.7008,40.458
53.7008,41.5349
53.7008,41.4326
15.8322,21.828
15.8322,10.1033
15.8322,20.679
15.8322,7.14484
15.8322,26.0686
15.8322,8.57597
15.8322,8.09162
15.8322,16.7008
15.8322,6.72896
15.8322,19.8681
15.8322,12.0842
15.8322,20.363
15.8322,4.01343
15.8322,23.8242
15.8322,0.13593
15.8322,0.62721
15.8322,27.2796
15.8322,2.97935
15.8322,2.27721
15.8322,28.9323
15.8322,27.9689
18.9741,15.3685
18.9741,10.0326
18.9741,12.3338
18.9741,8.42084
18.9741,9.35709
18.9741,6.58951
18.9741,22.3781
18.9741,18.5595
18.9741,19.6295
18.9741,10.9247
18.9741,4.67995
18.9741,15.7033
18.9741,4.48077
18.9741,14.408
18.9741,18.5639
18.9741,5.50422
18.9741,5.12592
18.9741,11.1418
18.9741,12.7697
26.8064,30.428
26.8064,30.0773
26.8064,32.599
26.8064,36.3822
26.8064,32.0696
26.8064,12.2958
26.8064,40.6365
26.8064,16.1625
26.8064,42.3459
26.8064,35.0097
26.8064,9.47296
74.9885,80.3495
74.9885,82.7075
74.9885,83.2318
74.9885,84.0984
74.9885,85.4784
74.9885,86.4474
74.9885,73.0689
78.5024,91.6913
78.5024,73.0689
78.5024,64.2412
40.89,46.1242
40.89,46.0979
40.89,56.8938
40.89,52.8386
40.89,55.5221
57.718,59.8289
57.718,53.9193
49.7239,50.1976
49.7239,42.0127
49.7239,41.2882
49.7239,41.0709
49.7239,57.3909
49.7239,40.2232
49.7239,55.2444
49.7239,48.0576
49.7239,50.7496
49.7239,44.0333
49.7239,38.3128
49.7239,51.0989
49.7239,58.9097
7.39656,9.20727
7.39656,19.059
7.39656,21.7357
59.5245,56.8938
59.5245,55.5221
59.5245,57.427
59.5245,60.4266
59.5245,57.224
59.5245,52.8386
59.5245,58.6729
59.5245,58.8107
59.5245,46.1242
59.5245,52.8361
59.5245,52.3406
59.5245,46.0979
0.347,5.50422
0.347,4.48077
0.347,6.58951
0.347,4.67995
0.347,8.42084
0.347,10.9247
0.347,9.47296
0.347,5.12592
0.347,12.2958
0.347,12.3338
0.347,14.408
0.347,10.0326
0.347,16.1625
44.4132,38.5799
44.4132,39.073
44.4132,37.3428
44.4132,35.3228
44.4132,41.7885
44.4132,46.9998
44.4132,48.0123
44.4132,43.4093
44.4132,49.4851
44.4132,49.0287
44.4132,60.0459
44.4132,48.9799
44.4132,47.704
20.363,16.7008
20.363,25.1478
20.363,27.2796
20.363,27.7266
20.363,28.9323
20.363,30.7268
20.363,22.8702
20.363,21.828
20.363,10.1033
20.363,25.1855
20.363,7.14484
20.363,26.0686
20.363,4.01343
20.363,30.3003
20.363,31.8361
20.363,2.97935
20.363,6.72896
96.4707,94.4322
96.4707,92.1247
96.4707,95.1313
96.4707,80.1813
41.4472,35.0097
41.4472,35.146
41.4472,45.4065
41.4472,32.0696
41.4472,32.7734
41.4472,41.4326
41.4472,55.6101
41.4472,32.599
41.4472,41.5349
41.4472,30.0773
41.4472,30.428
41.4472,36.3822
41.4472,45.6681
32.599,30.0773
32.599,36.3822
32.599,32.0696
32.599,35.0097
32.599,40.6365
32.599,42.3459
32.599,35.146
32.599,16.1625
32.599,45.6681
32.599,41.4326
32.599,49.727
32.599,41.5349
75.1517,75.1989
75.1517,75.8617
75.1517,76.1135
75.1517,75.4433
75.1517,80.1813
75.1517,60.3764
75.1517,58.6791
75.1517,63.8361
75.1517,61.4492
48.4585,61.4492
48.4585,51.0989
48.4585,49.1602
75.4433,80.1813
75.4433,71.6866
75.4433,61.4492
75.4433,92.1247
75.4433,94.4322
75.4433,60.3764
58.6729,60.4266
58.6729,49.727
58.6729,57.224
58.6729,59.7329
58.6729,57.427
58.6729,64.2412
58.6729,52.8361
58.6729,52.3406
58.6729,55.5221
58.6729,42.3459
58.6729,56.8938
58.6729,46.0979
58.6729,40.6365
58.6729,46.1242
19.8681,23.8242
19.8681,20.679
19.8681,12.0842
19.8681,27.9689
19.8681,26.0686
19.8681,21.828
19.8681,8.09162
19.8681,8.57597
19.8681,2.27721
19.8681,33.5889
19.8681,6.72896
27.5788,28.7218
27.5788,40.2232
27.5788,41.2882
27.5788,41.0709
27.5788,44.0333
27.5788,11.0276
27.5788,15.2025
27.5788,34.9113
27.5788,42.0127
27.5788,13.5772
27.5788,19.059
85.8102,93.2148
85.8102,83.2991
9.20727,19.059
9.20727,13.5772
9.20727,21.7357
9.20727,11.0276
11.1418,12.3338
11.1418,8.42084
11.1418,9.47296
11.1418,12.2958
11.1418,1.76199
11.1418,6.58951
11.1418,4.48077
36.0134,29.4471
36.0134,31.8361
36.0134,30.3003
36.0134,25.2707
36.0134,38.2936
36.0134,21.2412
36.0134,25.1855
36.0134,19.119
36.0134,22.8702
55.5221,52.8386
55.5221,57.427
55.5221,59.7329
55.5221,57.224
55.5221,56.8938
55.5221,60.4266
55.5221,52.8361
55.5221,52.3406
55.5221,46.1242
55.5221,58.8107
55.5221,46.0979
64.1351,66.2131
64.1351,63.4
64.1351,58.795
64.1351,60.0459
64.1351,67.2702
64.1351,73.1505
64.1351,48.9799
64.1351,49.0287
64.1351,47.704
64.1351,71.9214
64.1351,73.4743
64.1351,48.0123
64.1351,65.717
27.0952,26.9839
27.0952,36.2814
27.0952,21.7357
27.0952,38.3128
27.0952,28.718
27.0952,22.0749
27.0952,19.5288
27.0952,19.059
27.0952,29.9898
27.0952,34.0436
27.0952,40.8158
27.0952,42.543
27.0952,23.4409
27.0952,21.757
74.289,82.4213
74.289,63.8361
74.289,84.1804
74.289,82.5662
74.289,58.9097
2.27721,8.09162
2.27721,0.13593
2.27721,8.57597
2.27721,12.0842
2.27721,6.72896
2.27721,7.14484
2.27721,0.62721
2.27721,2.97935
2.27721,4.01343
2.27721,10.1033
2.27721,20.679
73.1505,66.2131
73.1505,64.3852
73.1505,63.4
73.1505,65.717
73.1505,67.2702
73.1505,73.4743
73.1505,58.795
73.1505,71.9214
73.1505,72.8807
73.1505,60.0459
82.5662,87.9966
