y_0,y_1
89.1606,97.2209
89.1606,86.0055
89.1606,97.8173
89.1606,84.2643
89.1606,92.7719
89.1606,75.0957
89.1606,81.7539
89.1606,72.9492
89.1606,95.7774
89.1606,83.6229
89.1606,72.6087
89.1606,88.6347
65.4733,54.3549
89.9081,94.7786
89.9081,84.4463
89.9081,84.0247
89.9081,96.6239
43.9189,46.7347
43.9189,45.4404
43.9189,46.7856
43.9189,47.5555
43.9189,36.4174
43.9189,46.8988
43.9189,33.3815
43.9189,36.8143
43.9189,35.026
43.9189,47.4765
43.9189,28.3702
43.9189,36.9414
43.9189,49.6279
43.9189,49.0099
43.9189,44.1401
43.9189,60.9334
43.9189,47.7202
43.9189,29.2726
43.9189,35.1735
43.9189,39.8681
47.5555,47.7202
47.5555,46.8988
47.5555,46.7856
47.5555,46.7347
47.5555,46.8728
47.5555,39.8681
47.5555,46.7667
47.5555,41.0037
47.5555,47.4765
47.5555,60.9334
47.5555,44.1401
47.5555,44.2492
47.5555,45.4404
47.5555,54.7721
47.5555,49.0099
47.5555,64.5593
47.5555,48.275
47.5555,49.6279
47.5555,33.3815
18.4002,11.1281
18.4002,13.3795
18.4002,9.9938
18.4002,5.22024
18.4002,4.70601
18.4002,11.159
18.4002,3.69043
18.4002,17.1843
18.4002,7.00536
18.4002,7.72394
18.4002,3.67681
18.4002,3.50947
18.4002,12.4429
90.8303,86.3011
90.8303,87.0655
90.8303,86.1387
90.8303,81.1417
90.8303,79.7831
90.8303,93.7341
90.8303,83.1558
90.8303,84.0255
90.8303,82.4401
90.8303,76.0287
90.8303,81.6559
60.2409,59.7346
60.2409,54.9463
60.2409,53.2394
60.2409,53.9657
60.2409,54.0094
60.2409,46.045
60.2409,47.5438
60.2409,68.7524
60.2409,62.0896
60.2409,49.6861
49.1671,45.5349
49.1671,48.275
49.1671,54.7721
49.1671,57.9087
49.1671,54.2923
49.1671,44.2492
49.1671,60.5757
49.1671,62.5415
49.1671,60.6789
49.1671,62.4137
49.1671,46.7667
49.1671,41.0037
49.1671,46.8728
49.1671,62.5577
49.1671,39.8681
49.1671,47.7202
49.1671,64.1144
49.1671,37.3246
49.1671,43.1935
49.1671,42.7845
49.1671,62.4377
49.1671,65.1628
49.1671,66.4051
3.69043,4.70601
3.69043,3.67681
3.69043,3.26725
3.69043,2.11783
3.69043,1.70073
3.69043,5.22024
3.69043,1.01789
3.69043,7.00536
3.69043,6.41786
3.69043,11.159
3.69043,6.9671
3.69043,13.3795
3.69043,11.1281
3.69043,6.6199
3.69043,12.4429
3.69043,3.74658
3.69043,9.9938
3.69043,0.41052
39.8681,44.2492
39.8681,46.8728
39.8681,46.7667
39.8681,47.7202
39.8681,45.5349
39.8681,43.1935
39.8681,48.275
39.8681,42.7845
39.8681,50.9397
39.8681,54.7721
39.8681,29.2726
39.8681,34.463
61.7427,57.4341
61.7427,56.3615
61.7427,55.7606
61.7427,54.5829
61.7427,70.3455
61.7427,56.9507
61.7427,63.1439
61.7427,73.2601
61.7427,59.3968
61.7427,54.3438
61.7427,75.0957
61.7427,43.8219
61.7427,44.5695
61.7427,61.6124
