mvir,x,y,z,rockstarid
10041000000000,55.4978,89.1606,80.259,12569289480
10095000000000,2.27346,65.4733,93.9389,12568691568
10125000000000,9.27539,89.9081,80.4844,12569289701
10157000000000,39.6522,43.9189,25.9333,12568653134
10162000000000,31.0202,47.5555,23.0686,12568653028
10180000000000,14.245,18.4002,63.7396,12568653176
10196000000000,39.019,90.8303,49.1266,12569249987
10329000000000,91.8058,60.2409,1.34038,12577990225
10360000000000,10.4227,49.1671,16.2351,12568650845
10369000000000,23.6743,3.69043,63.6552,12568653159
10374000000000,20.533,39.8681,24.392,12568653120
10414000000000,41.4667,61.7427,72.3977,12568652367
10437000000000,52.4544,62.7791,57.0389,12568652619
10446000000000,60.7518,89.9455,29.6955,12569250014
10451000000000,26.2546,34.463,42.7382,12568653084
10496000000000,53.6355,97.1021,14.2167,12569248587
10508000000000,76.9487,68.7524,5.03298,12578571554
10542000000000,54.5758,36.9414,23.2763,12568653037
10556000000000,85.4705,60.3942,64.7402,12577990915
10594000000000,51.5208,62.7071,54.7034,12568652711
10627000000000,53.7008,93.7341,44.5873,12569249980
10660000000000,98.2634,20.2903,24.082,12577991063
10669000000000,15.8322,13.3795,52.9256,12568653099
10706000000000,18.9741,54.7721,13.8644,12568652291
10753000000000,26.8064,78.7166,20.4476,12569249645
10809000000000,74.9885,49.6861,2.68327,12577991099
10877000000000,78.5024,70.1284,18.9121,12578571351
10896000000000,40.89,93.4999,2.25816,12569249655
10898000000000,57.718,5.36566,48.8287,12568652768
10935000000000,49.7239,56.9507,69.7162,12568653000
10941000000000,7.39656,63.2762,67.3992,12568652486
10941000000000,59.5245,90.7003,11.2651,12569249549
10959000000000,0.347,65.1628,21.1296,12568652456
11005000000000,12.167,93.2038,32.7894,12569248954
11006000000000,44.4132,49.6279,10.4739,12568652793
11026000000000,20.363,4.70601,63.3937,12568652386
11104000000000,96.4707,87.1523,89.5237,12578571409
11107000000000,41.4472,65.6574,35.1604,12568652553
11110000000000,32.599,75.992,25.3291,12569249502
11146000000000,75.1517,88.6347,78.4853,12578570568
11163000000000,48.4585,81.7539,93.4075,12569289465
11184000000000,75.4433,91.6029,91.4505,12578568929
11185000000000,58.6729,78.0311,13.224,12569247257
11235000000000,19.8681,16.8354,40.4011,12568652945
11295000000000,27.5788,46.7146,76.6753,12568652864
