Hn1_x,y,z
2.27346,65.4733,93.9389
2.27346,65.4733,93.9389
31.0202,47.5555,23.0686
31.0202,47.5555,23.0686
39.6522,43.9189,25.9333
9.27539,89.9081,80.4844
31.0202,47.5555,23.0686
9.27539,89.9081,80.4844
39.6522,43.9189,25.9333
14.245,18.4002,63.7396
39.6522,43.9189,25.9333
14.245,18.4002,63.7396
55.4978,89.1606,80.259
14.245,18.4002,63.7396
39.019,90.8303,49.1266
14.245,18.4002,63.7396
2.27346,65.4733,93.9389
39.019,90.8303,49.1266
2.27346,65.4733,93.9389
39.019,90.8303,49.1266
2.27346,65.4733,93.9389
9.27539,89.9081,80.4844
9.27539,89.9081,80.4844
9.27539,89.9081,80.4844
31.0202,47.5555,23.0686
31.0202,47.5555,23.0686
9.27539,89.9081,80.4844
2.27346,65.4733,93.9389
9.27539,89.9081,80.4844
39.019,90.8303,49.1266
14.245,18.4002,63.7396
14.245,18.4002,63.7396
9.27539,89.9081,80.4844
39.019,90.8303,49.1266
39.019,90.8303,49.1266
31.0202,47.5555,23.0686
39.019,90.8303,49.1266
14.245,18.4002,63.7396
2.27346,65.4733,93.9389
14.245,18.4002,63.7396
9.27539,89.9081,80.4844
9.27539,89.9081,80.4844
2.27346,65.4733,93.9389
39.019,90.8303,49.1266
14.245,18.4002,63.7396
14.245,18.4002,63.7396
14.245,18.4002,63.7396
39.019,90.8303,49.1266
14.245,18.4002,63.7396
39.019,90.8303,49.1266
39.6522,43.9189,25.9333
9.27539,89.9081,80.4844
14.245,18.4002,63.7396
14.245,18.4002,63.7396
14.245,18.4002,63.7396
39.019,90.8303,49.1266
39.019,90.8303,49.1266
9.27539,89.9081,80.4844
2.27346,65.4733,93.9389
9.27539,89.9081,80.4844
2.27346,65.4733,93.9389
9.27539,89.9081,80.4844
2.27346,65.4733,93.9389
9.27539,89.9081,80.4844
9.27539,89.9081,80.4844
2.27346,65.4733,93.9389
39.019,90.8303,49.1266
2.27346,65.4733,93.9389
31.0202,47.5555,23.0686
14.245,18.4002,63.7396
2.27346,65.4733,93.9389
14.245,18.4002,63.7396
31.0202,47.5555,23.0686
14.245,18.4002,63.7396
9.27539,89.9081,80.4844
9.27539,89.9081,80.4844
2.27346,65.4733,93.9389
31.0202,47.5555,23.0686
31.0202,47.5555,23.0686
14.245,18.4002,63.7396
41.4667,61.7427,72.3977
52.4544,62.7791,57.0389
10.4227,49.1671,16.2351
52.4544,62.7791,57.0389
52.4544,62.7791,57.0389
20.533,39.8681,24.392
20.533,39.8681,24.392
41.4667,61.7427,72.3977
20.533,39.8681,24.392
10.4227,49.1671,16.2351
41.4667,61.7427,72.3977
52.4544,62.7791,57.0389
91.8058,60.2409,1.34038
91.8058,60.2409,1.34038
20.533,39.8681,24.392
41.4667,61.7427,72.3977
23.6743,3.69043,63.6552
52.4544,62.7791,57.0389
20.533,39.8681,24.392
52.4544,62.7791,57.0389
91.8058,60.2409,1.34038
52.4544,62.7791,57.0389
23.6743,3.69043,63.6552
91.8058,60.2409,1.34038
91.8058,60.2409,1.34038
23.6743,3.69043,63.6552
23.6743,3.69043,63.6552
