mvir,x,y,z,rockstarid
3.5027e+15,669.879,197.094,960.008,12663401752
2.6109e+15,6.2965,61.2847,512.033,12568957065
2.4641e+15,644.136,671.862,241.302,12657871796
2.4588e+15,915.374,140.135,875.542,12690066801
2.3821e+15,958.168,73.8537,974.687,12698654951
2.3623e+15,900.326,142.452,944.158,12690125164
2.2699e+15,486.246,231.955,903.686,12636014904
2.244e+15,12.1695,960.385,944.192,12577987103
2.1548e+15,606.789,487.382,619.774,12656411108
2.0278e+15,121.973,76.4274,770.257,12578986015
1.9708e+15,949.974,874.504,257.609,12705641046
1.9121e+15,839.36,581.559,345.139,12684705936
1.8743e+15,971.177,872.807,134.237,12705594475
1.8499e+15,482.238,542.082,583.51,12638697135
1.8463e+15,910.39,664.855,315.106,12694372365
1.8223e+15,262.784,751.247,344.008,12603224585
1.8009e+15,721.035,823.852,567.444,12668895752
1.8006e+15,99.4563,546.134,85.4682,12582721130
1.7983e+15,997.834,660.239,534.176,12703539678
1.7297e+15,655.187,673.137,238.022,12657874277
1.725e+15,755.347,272.481,347.763,12672747986
1.6919e+15,547.65,809.648,559.753,12650062766
1.6849e+15,174.629,812.52,149.318,12594389661
1.679e+15,802.371,609.702,107.708,12684570711
1.6734e+15,750.123,746.959,984.174,12677601738
1.6639e+15,526.225,786.627,596.558,12640964729
1.6608e+15,141.873,981.002,618.664,12596343080
1.657e+15,374.902,54.986,632.304,12615510884
1.6454e+15,215.099,193.683,794.724,12598752842
1.6379e+15,789.794,393.937,108.045,12673756788
1.6281e+15,124.633,119.277,919.29,12579109936
1.6147e+15,843.256,837.123,50.8922,12686785434
1.6113e+15,635.792,206.194,703.865,12654172216
1.6103e+15,227.521,804.55,495.725,12603902385
1.5807e+15,480.557,723.684,786.105,12640501425
1.5629e+15,426.189,660.342,455.202,12630507688
1.5547e+15,952.261,846.447,141.288,12705008265
1.5361e+15,101.872,318.506,764.227,12581363869
1.5323e+15,929.533,141.971,889.046,12690072151
1.5186e+15,400.791,606.016,644.019,12630082804
1.5082e+15,421.949,776.39,759.396,12631840147
1.5072e+15,782.238,546.363,483.917,12675106536
1.4851e+15,55.8704,610.345,594.962,12574272137
1.4641e+15,645.799,466.26,140.235,12656156641
1.4527e+15,259.64,427.631,721.548,12600479161
1.4513e+15,915.111,276.146,708.561,12691139003
1.4463e+15,711.319,997.139,2.12458,12669699551
1.4457e+15,148.265,171.722,585.859,12588786834
1.4454e+15,10.8192,795.923,155.393,12575741954
1.4437e+15,658.125,97.276,884.622,12653096587
1.4433e+15,254.774,907.044,368.387,12604967217
1.4386e+15,156.213,29.5474,839.493,12587790130
1.437e+15,17.7426,211.23,422.484,12570693121
1.4354e+15,638.834,955.218,583.847,12660897460
1.4341e+15,188.123,956.646,132.027,12596056208
1.4321e+15,542.685,794.093,960.861,12650311783
1.4298e+15,175.566,755.025,317.484,12593895209
1.4236e+15,340.402,222.194,658.344,12617271026
1.4074e+15,496.71,652.795,64.1768,12639540115
1.4073e+15,310.117,642.699,650.855,12612096680
1.3875e+15,101.634,969.175,296.432,12586929046
1.3828e+15,563.311,23.3739,909.907,12643433301
1.3826e+15,274.144,953.328,242.029,12614710479
1.372e+15,542.473,550.278,930.081,12648020319
1.3708e+15,497.5,948.55,296.358,12642510281
1.367e+15,760.326,644.058,423.025,12676198032
1.3668e+15,147.961,817.032,533.548,12595207277
1.357e+15,173.057,993.976,703.358,12596377981
1.3544e+15,94.8796,998.614,578.616,12587069966
1.3481e+15,400.618,829.845,436,12632267220
1.3422e+15,274.335,89.7542,159.066,12606544584
1.3363e+15,969.286,416.337,249.225,12701135694
1.2996e+15,274.118,663.834,64.5768,12611737724
1.2943e+15,530.247,80.5187,556.802,12634646985
1.2812e+15,894.988,337.617,927.879,12691835165
1.2762e+15,401.271,943.296,701.821,12633566111
1.275e+15,883.544,706.36,817.628,12695175512
1.275e+15,712.437,375.146,366.445,12664795164
1.2719e+15,713.92,819.685,566.163,12668893872
1.2696e+15,677.623,501.646,311.882,12665905350
1.2587e+15,240.287,283.571,180.834,12598970228
1.257e+15,331.368,179.685,594.74,12607393958
1.2485e+15,677.689,313.512,628.081,12664400060
1.2442e+15,776.027,981.765,411.411,12679009858
1.2263e+15,996.561,428.788,266.781,12701137354
1.2253e+15,588.846,157.813,46.6312,12644071595
1.2202e+15,560.507,639.577,264.731,12648761658
1.2139e+15,155.847,652.874,85.3441,12593178934
1.2069e+15,138.735,349.208,406.208,12590446198
1.2019e+15,274.561,744.914,343.577,12612493110
1.1988e+15,212.607,398.448,362.424,12600259970
1.1901e+15,427.809,161.813,941.705,12626159180
1.1891e+15,539.021,68.9629,478.313,12643754861
1.1866e+15,439.221,683.78,128.083,12630322653
1.1806e+15,929.691,268.378,708.077,12691140647
1.1781e+15,275.152,51.9542,501.89,12606173428
1.1766e+15,726.868,837.501,581.664,12668868770
1.1715e+15,211.919,986.485,137.366,12605368890
1.1683e+15,57.9926,593.62,165.197,12574011823
1.1637e+15,881.477,708.248,815.074,12695174764
1.1635e+15,495.434,512.148,435.658,12638588628
1.1626e+15,770.574,71.1932,623.809,12671158238
1.1555e+15,238.856,774.687,341.898,12603770701
1.1388e+15,517.167,514.932,880.433,12638830967
1.1355e+15,580.169,140.775,814.417,12644540893
1.1334e+15,433.807,591.532,629.435,12630070860
1.1328e+15,563.431,105.286,109.369,12643541822
1.1315e+15,616.531,868.846,840.482,12659901602
1.1296e+15,667.36,353.267,271.97,12655063158
1.129e+15,710.939,494.317,587.449,12665478058
1.1289e+15,173.319,999.826,702.641,12596379353
1.1218e+15,923.382,231.891,943.136,12690700481
1.1211e+15,277.454,891.58,139.107,12614072790
1.1209e+15,522.393,754.107,693.274,12641031455
1.1203e+15,165.436,772.944,847.763,12594751964
1.1195e+15,568.048,494.462,757.65,12647358430
1.1126e+15,811.978,881.686,602.747,12687649940
1.1076e+15,652.309,11.3594,386.839,12652239010
1.1073e+15,861.953,104.073,459.194,12680186799
1.1033e+15,276.269,462.996,815.594,12610437501
1.1019e+15,121.392,264.545,901.616,12580847193
1.101e+15,708.766,938.731,603.185,12669993544
1.1004e+15,835.653,842.471,192.865,12686854826
1.0971e+15,895.859,978.882,255.896,12697120349
1.0971e+15,306.691,932.681,919.82,12614530604
1.096e+15,543.216,820.09,682.946,12650691294
1.094e+15,100.301,785.946,812.157,12585479564
1.0881e+15,499.072,501.25,23.8314,12638376794
1.0833e+15,196.039,20.5421,196.507,12587430895
1.0817e+15,481.947,252.926,299.905,12636200740
1.0813e+15,963.415,72.1811,201.227,12698194705
1.0803e+15,660.381,839.747,316.807,12659596832
1.0791e+15,160.183,280.021,99.1538,12589687454
1.0723e+15,775.121,11.9213,528.814,12670550211
1.0635e+15,904.573,749.169,133.769,12694850580
1.0613e+15,514.805,419.35,898.918,12637697324
1.0584e+15,152.145,923.498,30.291,12595426755
1.0578e+15,650.511,844.177,565.136,12659797867
1.0569e+15,140.307,528.724,587.009,12592317596
1.0561e+15,227.26,373.225,824.432,12600545657
1.0543e+15,388.672,29.1363,246.437,12615260979
1.05e+15,103.485,257.923,169.16,12580443353
1.049e+15,626.901,969.414,584.493,12660896036
1.0483e+15,998.062,397.897,756.221,12701420112
1.0472e+15,962.357,855.293,122.378,12705003456
1.039e+15,373.146,262.991,11.1361,12617475901
1.038e+15,651.121,100.449,208.369,12652734145
1.0318e+15,14.3043,635.55,499.196,12574795730
1.0311e+15,260.347,604.14,493.926,12602126932
1.0291e+15,86.0786,443.46,631.127,12582463637
1.0284e+15,267.535,407.337,82.7141,12609412404
1.0268e+15,831.839,902.066,628.003,12687663245
1.0257e+15,124.714,737.536,176.398,12584504099
1.0251e+15,577.089,648.037,604.154,12648976165
1.0244e+15,208.9,917.113,981.547,12605288433
1.0244e+15,55.5539,966.821,466.926,12577663353
1.0182e+15,786.518,644.666,566.172,12676236437
1.0178e+15,506.714,588.903,249.243,12639072051
1.0161e+15,814.789,618.615,292.066,12684674559
1.0151e+15,120.477,308.142,487.008,12581183278
1.0149e+15,825.311,788.712,47.6473,12686188949
1.0121e+15,636.168,450.136,282.72,12656197142
1.011e+15,147.974,937.107,701.899,12595845429
1.0099e+15,522.758,503.666,44.2663,12638378415
1.0096e+15,402.756,847.767,339.541,12632196063
1.0061e+15,360.845,317.522,628.214,12618423428
1.0051e+15,719.744,494.694,588.858,12665478646
1.0047e+15,760.636,365.001,104.377,12673183776
1.0007e+15,600.93,796.974,730.773,12659283617
995480000000000,647.431,108.31,189.409,12652701745
992560000000000,814.899,246.371,426.395,12681315950
991010000000000,818.207,884.301,974.091,12687833146
990950000000000,502.048,236.931,55.2208,12635510218
988800000000000,639.203,433.304,287.952,12655653888
988700000000000,140.055,170.716,579.349,12588785329
988220000000000,346.25,508.15,606.348,12620173441
987830000000000,978.163,501.331,450.754,12702345525
986140000000000,754.165,518.518,331.928,12675003706
985670000000000,618.741,25.4263,802.015,12652485670
985130000000000,58.3835,80.6885,230.324,12569363746
983060000000000,790.481,292.925,954.492,12673076965
982550000000000,322.092,180.071,19.3425,12607059639
981120000000000,219.376,797.735,389.386,12603803407
980470000000000,876.369,69.424,774.38,12689415643
